Month,hcpi
202101,243.2076
202102,258.474533333333
202103,272.306533333333
202104,295.770133333333
202105,324.589594594595
202106,368.031486486486
202107,400.897945205479
202108,421.976805555556
202109,464.316666666667
202110,482.358028169014
202111,522.83
202112,529.073043478261
202201,543.391029411765
202202,599.849411764706
202203,667.131044776119
202204,178.374090909091
202205,180.770757575758
202206,184.269545454545
202207,186.565846153846
202208,175.026875
202209,172.411746031746
202210,172.085818181818
202211,163.320416666667
202212,138.809189189189
